Order_ID,Shipment_Mode,Distance_km,Shipment_Weight_kg,Transportation_Cost,Inventory_Level,Delivery_Time_days
ORD0001,Road,251.1,1420.3,489.37,770.4,6.59
ORD0002,Sea,1810.0,322.0,1937.65,73.4,54.89
ORD0003,Air,1035.2,1161.1,6747.48,71.0,2.73
ORD0004,Air,1661.6,1221.3,10781.84,357.4,4.73
ORD0005,Road,674.1,859.8,1263.05,514.2,12.4
ORD0006,Road,1796.3,1478.2,3260.69,781.9,31.17
ORD0007,Road,808.9,1870.0,1575.32,699.1,16.55
ORD0008,Sea,71.1,1852.6,100.0,473.6,8.4
ORD0009,Air,1815.5,912.7,11874.07,309.9,4.71
ORD0010,Air,228.0,244.2,1553.84,997.3,1.53
ORD0011,Road,672.7,1970.0,1179.58,454.9,13.87
ORD0012,Sea,1902.6,1681.0,2211.52,478.8,58.48
ORD0013,Sea,1903.7,266.8,2194.66,205.4,57.42
ORD0014,Road,1168.2,1843.3,2119.47,805.1,21.01
ORD0015,Road,1282.1,1742.4,2520.66,709.0,22.98
ORD0016,Road,924.5,1047.3,1750.98,259.7,17.51
ORD0017,Road,621.8,1190.7,1135.31,128.3,11.38
ORD0018,Road,690.9,810.0,1284.26,696.5,13.53
ORD0019,Road,1361.4,128.4,2496.69,671.8,23.21
ORD0020,Road,1517.1,683.7,2773.76,309.6,25.22
ORD0021,Air,1593.6,1609.6,10484.51,953.3,3.28
ORD0022,Road,1589.8,29.2,2798.72,193.5,25.26
ORD0023,Road,227.9,680.3,459.41,460.7,6.37
ORD0024,Road,1014.1,808.4,1770.92,946.4,17.68
ORD0025,Road,162.2,1084.0,343.87,448.7,4.2
ORD0026,Air,1121.6,1841.3,7328.28,656.6,3.99
ORD0027,Road,911.0,705.8,1627.1,427.7,16.59
ORD0028,Road,1781.0,707.0,3331.25,310.5,29.77
ORD0029,Air,734.3,1480.3,4930.65,984.8,3.23
ORD0030,Road,278.3,915.4,593.89,438.9,6.24
ORD0031,Air,328.8,464.7,2086.52,899.4,1.41
ORD0032,Road,1534.9,915.8,2791.12,268.5,25.19
ORD0033,Road,1255.5,298.9,2361.3,252.4,21.98
ORD0034,Sea,247.2,369.2,302.14,79.6,9.75
ORD0035,Sea,214.0,1006.8,453.13,669.1,10.59
ORD0036,Sea,1416.9,849.5,1632.83,400.1,44.99
ORD0037,Road,191.9,1831.4,459.57,871.1,6.89
ORD0038,Road,1652.6,737.5,2993.66,499.5,27.14
ORD0039,Air,1427.2,1169.6,9350.29,969.8,4.32
ORD0040,Road,208.6,1271.9,434.81,226.2,5.81
ORD0041,Road,215.4,45.9,439.87,875.2,3.93
ORD0042,Road,1973.9,1333.8,3693.43,787.8,33.28
ORD0043,Road,779.8,372.5,1369.16,782.4,12.79
ORD0044,Sea,772.8,1922.9,862.6,852.5,27.55
ORD0045,Road,1635.0,314.4,2831.68,773.0,26.38
ORD0046,Air,1897.1,841.0,12413.19,644.9,4.49
ORD0047,Road,1972.7,189.0,3484.02,174.7,31.96
ORD0048,Road,1519.1,1993.8,2693.31,80.9,26.6
ORD0049,Road,783.7,1014.3,1493.66,924.8,14.79
ORD0050,Road,212.8,1198.9,623.53,635.8,5.47
ORD0051,Sea,1565.4,152.8,1729.96,806.7,48.01
ORD0052,Air,1138.9,1504.9,7544.24,507.4,3.06
ORD0053,Sea,877.2,435.6,994.64,161.4,28.14
ORD0054,Sea,1817.4,1798.1,2091.11,168.9,57.78
ORD0055,Air,266.8,426.2,1822.2,701.3,0.85
ORD0056,Sea,1010.6,397.6,1113.23,458.8,31.34
ORD0057,Road,72.1,92.4,153.65,240.5,2.77
ORD0058,Road,963.9,954.7,1810.03,517.0,17.22
ORD0059,Road,159.8,1138.4,303.47,111.0,5.17
ORD0060,Road,281.7,150.1,584.75,602.9,6.04
ORD0061,Road,279.2,1555.5,575.82,305.5,7.67
ORD0062,Road,1316.0,917.5,2366.29,807.7,23.24
ORD0063,Sea,1504.8,1058.3,1751.03,344.8,46.96
ORD0064,Road,1187.6,892.7,2123.83,482.5,20.29
ORD0065,Road,1926.2,813.5,3513.94,61.0,32.21
ORD0066,Road,781.0,1128.1,1467.2,118.8,15.8
ORD0067,Road,607.1,327.4,1186.87,422.9,10.81
ORD0068,Sea,1743.8,380.2,1972.29,505.9,52.06
ORD0069,Road,486.0,1726.3,968.02,620.0,11.37
ORD0070,Sea,1928.3,1893.3,2282.49,327.1,59.61
ORD0071,Air,73.7,759.2,618.13,710.2,0.5
ORD0072,Road,1941.3,556.1,3563.91,867.1,32.28
ORD0073,Road,134.2,1295.1,313.45,790.9,4.33
ORD0074,Sea,1787.7,829.3,1920.28,87.6,54.44
ORD0075,Air,1079.0,70.3,6942.92,506.5,2.55
ORD0076,Air,1986.3,329.2,12907.57,149.7,4.04
ORD0077,Air,193.9,1437.6,1296.77,279.9,3.07
ORD0078,Road,1130.0,1324.7,2093.8,987.3,19.75
ORD0079,Road,1940.1,73.7,3500.27,185.4,31.49
ORD0080,Road,1070.0,459.5,1988.42,523.9,17.99
ORD0081,Sea,1277.3,477.5,1426.39,637.2,40.04
ORD0082,Air,1406.7,1350.3,9251.94,717.3,4.64
ORD0083,Road,936.4,59.0,1693.2,581.7,15.02
ORD0084,Road,1273.7,226.1,2166.88,59.3,21.81
ORD0085,Road,1189.4,1603.8,2163.4,360.1,20.91
ORD0086,Road,1807.3,373.5,3263.52,541.8,29.98
ORD0087,Air,138.6,1312.4,888.54,133.5,2.61
ORD0088,Air,597.9,491.6,3955.24,383.1,3.39
ORD0089,Sea,1903.3,216.9,2212.71,81.5,56.96
ORD0090,Road,1786.0,501.5,3327.72,124.6,28.99
ORD0091,Road,938.5,1450.1,1754.17,427.1,17.24
ORD0092,Air,1259.3,1714.3,8383.82,176.1,4.19
ORD0093,Air,590.9,1663.8,3942.72,589.2,3.95
ORD0094,Air,416.8,806.4,2730.19,705.0,1.06
ORD0095,Air,954.2,1342.8,6233.29,810.6,2.82
ORD0096,Road,739.0,425.9,1332.52,240.1,12.3
ORD0097,Road,1188.1,600.4,2144.48,209.1,20.81
ORD0098,Road,201.6,1794.7,473.49,149.3,7.49
ORD0099,Road,1950.1,45.7,3523.88,654.6,31.18
ORD0100,Road,1973.1,189.3,3562.22,721.2,31.65
ORD0101,Road,1411.4,431.6,2594.87,80.0,23.44
ORD0102,Air,1095.4,72.5,7207.36,939.4,3.16
ORD0103,Road,653.6,379.2,1263.77,99.4,11.03
ORD0104,Road,1636.9,1174.4,2907.07,564.2,27.85
ORD0105,Sea,1385.2,854.4,1391.97,723.6,43.71
ORD0106,Road,367.1,1787.5,824.5,877.4,9.18
ORD0107,Road,1826.3,1638.5,3281.79,728.4,31.25
ORD0108,Air,1653.9,696.8,10773.25,811.6,4.54
ORD0109,Road,1902.1,533.7,3371.24,372.5,29.16
ORD0110,Road,1465.2,771.8,2553.59,824.1,25.07
ORD0111,Road,1246.2,1188.8,2346.37,126.1,21.23
ORD0112,Road,865.6,550.8,1641.47,900.1,13.85
ORD0113,Sea,1868.8,1255.8,2084.42,570.2,57.65
ORD0114,Sea,1738.8,830.6,1777.02,826.4,54.07
ORD0115,Air,138.2,1113.1,921.13,479.7,2.04
ORD0116,Sea,101.4,883.5,187.58,661.4,7.05
ORD0117,Sea,784.1,603.0,792.16,550.1,26.7
ORD0118,Road,1630.6,1897.9,3052.26,745.0,29.32
ORD0119,Sea,1975.2,1531.9,2255.89,127.5,61.78
ORD0120,Road,343.3,297.4,674.87,107.3,7.33
ORD0121,Sea,1208.6,1739.6,1433.46,284.7,39.02
ORD0122,Sea,792.7,985.1,858.08,201.6,25.12
ORD0123,Road,1941.3,1791.2,3676.68,878.2,32.88
ORD0124,Road,1692.1,1603.7,3122.94,258.3,28.42
ORD0125,Road,1684.7,861.9,3078.03,977.1,29.6
ORD0126,Road,964.0,64.5,1673.33,370.1,15.98
ORD0127,Sea,858.9,552.0,944.12,223.0,27.74
ORD0128,Sea,583.1,1092.4,639.61,800.2,20.76
ORD0129,Road,159.9,1274.3,345.86,675.8,5.11
ORD0130,Road,1736.2,530.6,3274.18,523.3,29.69
ORD0131,Road,1635.2,295.9,2863.53,577.6,26.25
ORD0132,Road,1999.4,1673.2,3578.08,733.2,33.96
ORD0133,Road,1993.4,1969.1,3799.48,267.0,33.54
ORD0134,Road,1133.1,1060.9,2083.26,996.5,18.89
ORD0135,Sea,1549.5,359.9,1677.44,976.1,46.74
ORD0136,Road,1892.3,559.2,3509.68,667.8,30.91
ORD0137,Road,1706.8,56.4,3032.97,239.6,27.22
ORD0138,Air,532.3,1830.3,3688.63,696.2,3.01
ORD0139,Road,928.6,253.1,1732.79,118.6,14.78
ORD0140,Sea,301.9,1161.5,361.78,79.1,12.36
ORD0141,Sea,1910.4,562.6,2283.4,294.8,56.65
ORD0142,Road,1232.0,1117.3,2236.72,489.5,21.93
ORD0143,Road,495.9,1309.8,1016.52,874.9,10.34
ORD0144,Road,1359.8,1662.9,2560.08,740.8,22.95
ORD0145,Road,1255.4,428.7,2374.33,755.6,20.77
ORD0146,Road,748.4,41.8,1458.75,454.2,12.23
ORD0147,Air,271.4,291.0,1782.59,378.6,1.63
ORD0148,Road,1359.6,1802.0,2493.59,402.5,25.06
ORD0149,Road,1064.6,1750.3,2044.74,988.3,18.21
ORD0150,Road,1556.0,1202.9,2819.56,88.1,26.56
ORD0151,Sea,1064.3,1209.0,1378.18,873.7,34.14
ORD0152,Road,1711.8,1336.8,3164.24,599.7,29.49
ORD0153,Road,1126.2,367.2,2021.82,466.7,19.08
ORD0154,Road,1143.8,1830.5,2172.5,739.0,20.3
ORD0155,Sea,1759.5,849.2,1887.83,512.3,53.49
ORD0156,Road,836.8,778.6,1481.04,879.8,14.38
ORD0157,Air,311.3,1047.5,2165.28,905.7,3.06
ORD0158,Air,106.1,113.0,650.05,450.6,0.99
ORD0159,Road,1522.5,349.2,2686.46,313.0,26.34
ORD0160,Air,1259.6,1481.3,8306.46,612.7,4.1
ORD0161,Road,1423.0,183.9,2654.44,916.7,22.8
ORD0162,Air,465.3,1214.2,3141.43,250.1,1.65
ORD0163,Air,315.9,505.8,2151.05,641.8,0.5
ORD0164,Road,78.4,790.8,131.57,650.0,2.18
ORD0165,Road,733.6,591.6,1253.57,746.5,13.33
ORD0166,Sea,1200.3,724.2,1465.3,175.0,37.96
ORD0167,Road,814.9,1443.7,1523.59,730.0,14.23
ORD0168,Road,903.1,608.3,1641.44,913.6,16.4
ORD0169,Road,1813.1,1141.5,3419.35,220.7,30.02
ORD0170,Air,729.1,962.6,4831.02,275.7,2.91
ORD0171,Air,1052.3,1334.1,6945.1,972.8,4.81
ORD0172,Road,1578.1,1874.9,3095.29,221.9,28.19
ORD0173,Road,823.3,1470.5,1517.7,861.7,15.31
ORD0174,Road,1263.1,445.6,2362.98,517.7,20.5
ORD0175,Air,1731.6,81.7,11263.95,284.9,1.76
ORD0176,Road,1901.6,539.3,3471.28,877.2,30.55
ORD0177,Air,336.8,1198.3,2362.05,473.0,2.36
ORD0178,Road,1856.8,121.8,3384.57,539.1,29.21
ORD0179,Sea,1009.6,1002.8,1203.42,391.3,32.37
ORD0180,Road,553.6,1201.7,1137.61,613.3,11.11
ORD0181,Road,945.3,681.8,1713.52,205.3,16.34
ORD0182,Road,1961.1,1546.4,3556.22,421.5,32.63
ORD0183,Sea,1010.6,231.1,1051.24,970.9,31.75
ORD0184,Sea,691.1,168.8,631.81,295.2,22.74
ORD0185,Road,1285.1,1461.8,2537.57,673.9,21.83
ORD0186,Air,518.3,1001.1,3346.68,358.9,3.54
ORD0187,Sea,197.9,1383.0,278.31,784.8,9.62
ORD0188,Air,301.3,881.0,1987.63,174.3,2.12
ORD0189,Road,299.7,507.9,588.89,971.3,6.87
ORD0190,Road,346.2,1641.8,770.58,481.1,8.51
ORD0191,Road,320.7,1602.8,725.67,274.2,8.58
ORD0192,Sea,1299.7,1395.5,1465.61,119.8,41.39
ORD0193,Sea,404.7,558.8,464.17,211.3,14.25
ORD0194,Air,724.1,1188.7,4791.49,543.8,3.31
ORD0195,Road,1798.7,734.7,3260.73,370.2,28.89
ORD0196,Road,974.2,201.3,1877.19,837.4,16.49
ORD0197,Air,1351.7,1836.3,8921.66,459.3,4.65
ORD0198,Sea,386.0,290.9,492.07,286.3,13.71
ORD0199,Sea,425.0,1901.5,618.44,636.3,16.66
ORD0200,Air,129.7,903.1,974.82,721.4,0.57
ORD0201,Air,379.4,386.6,2500.18,208.7,1.29
ORD0202,Road,593.3,1093.0,1037.19,209.2,11.61
ORD0203,Road,395.2,1748.4,835.45,84.8,9.33
ORD0204,Sea,223.0,1469.8,280.51,749.6,9.78
ORD0205,Air,285.2,1617.0,1905.99,680.6,3.79
ORD0206,Road,948.5,1324.4,1821.22,500.9,16.66
ORD0207,Road,452.4,1390.7,977.4,852.0,10.38
ORD0208,Air,760.3,1701.4,5037.19,815.4,3.98
ORD0209,Road,1031.7,514.3,1906.9,606.1,17.19
ORD0210,Road,1396.3,989.1,2686.84,874.9,25.02
ORD0211,Road,126.7,458.0,270.03,245.5,2.82
ORD0212,Air,1608.9,1975.6,10748.3,156.3,5.84
ORD0213,Air,1274.4,1889.2,8427.13,306.3,5.32
ORD0214,Road,209.4,98.1,259.11,104.2,4.06
ORD0215,Air,1753.5,1417.0,11528.28,554.6,5.75
ORD0216,Road,1845.7,1852.0,3450.8,939.8,31.48
ORD0217,Road,169.1,377.5,415.43,87.4,4.42
ORD0218,Air,589.9,1144.5,3944.5,166.0,3.0
ORD0219,Air,1622.1,1832.7,10634.71,479.6,4.96
ORD0220,Sea,1509.1,87.2,1579.11,937.2,46.28
ORD0221,Air,409.8,1400.9,2726.22,350.3,3.4
ORD0222,Air,458.2,608.8,2952.45,531.9,0.81
ORD0223,Road,772.4,1850.3,1451.49,89.5,16.05
ORD0224,Road,994.8,1942.7,1938.72,190.9,17.5
ORD0225,Road,1255.6,1889.6,2480.9,987.3,23.34
ORD0226,Road,769.4,958.9,1465.26,966.9,14.89
ORD0227,Sea,951.9,1726.8,1058.4,54.7,30.85
ORD0228,Road,1507.6,1692.2,2837.82,954.2,25.99
ORD0229,Sea,121.5,651.8,253.3,657.2,5.92
ORD0230,Air,542.3,1661.3,3573.32,874.5,3.17
ORD0231,Air,1441.0,93.3,9362.45,482.0,2.65
ORD0232,Road,1795.7,1200.6,3299.24,539.8,30.71
ORD0233,Air,1047.8,475.4,6781.72,514.4,3.64
ORD0234,Road,1087.6,258.7,2017.33,683.5,19.2
ORD0235,Road,259.0,172.4,467.19,182.7,4.98
ORD0236,Air,922.5,1398.7,6102.24,78.5,3.43
ORD0237,Road,1088.6,693.0,1935.47,342.5,17.54
ORD0238,Road,522.8,1455.0,990.48,719.4,10.3
ORD0239,Air,575.0,149.4,3796.44,241.8,2.36
ORD0240,Road,785.7,644.3,1423.6,689.8,15.13
ORD0241,Sea,89.1,1088.2,278.79,971.4,5.39
ORD0242,Sea,678.1,1585.6,805.1,139.2,23.22
ORD0243,Sea,462.3,651.1,560.1,689.0,16.41
ORD0244,Road,688.6,1259.3,1374.06,471.6,13.39
ORD0245,Road,283.5,1774.2,508.66,874.7,6.97
ORD0246,Sea,1786.5,1239.4,1910.09,218.3,55.22
ORD0247,Road,1207.5,481.3,2093.18,708.0,19.98
ORD0248,Sea,1374.2,68.3,1603.81,846.2,41.83
ORD0249,Sea,1588.9,1742.8,1805.0,947.4,50.22
ORD0250,Sea,1022.0,62.1,1306.65,699.1,31.77
ORD0251,Road,219.5,1751.9,451.95,522.3,6.22
ORD0252,Road,1097.4,1067.3,2046.86,637.0,19.19
ORD0253,Sea,1194.3,1879.4,1525.09,875.5,38.65
ORD0254,Road,1503.6,1601.6,2935.01,592.1,25.85
ORD0255,Road,891.7,1995.9,1859.21,78.9,16.96
ORD0256,Air,298.8,714.4,2065.96,934.4,3.04
ORD0257,Sea,603.4,1539.0,820.03,705.1,21.84
ORD0258,Air,758.0,815.8,5013.42,692.7,2.48
ORD0259,Air,1309.5,970.2,8619.84,254.9,4.14
ORD0260,Road,1163.0,1262.5,2124.28,675.9,20.26
ORD0261,Air,744.4,1749.9,4877.5,424.2,4.53
ORD0262,Sea,1973.7,1968.5,2279.11,668.7,61.34
ORD0263,Road,1231.3,1541.2,2289.12,151.3,21.78
ORD0264,Road,512.6,847.2,937.53,675.0,10.34
ORD0265,Sea,248.5,854.3,369.06,999.4,9.45
ORD0266,Air,348.1,1480.4,2410.78,95.8,2.05
ORD0267,Air,529.6,492.8,3475.81,978.3,1.17
